tributary,site_no,date,water_year,log_daily_q,mean_prior_weekly_q,mean_prior_monthly_q,delta_daily_q,delta_daily_q_cat,lag_daily_q,season
Bouquet River,04276500,2024-06-08,2024,-1.823243768387052,-2.043770871458322,-1.906706311871993,-0.07407876687114157,-1,-1.7491650015159104,Summer
Bouquet River,04276500,2024-06-09,2024,-1.9628653979996897,-2.020265129601878,-1.9068229016248408,-0.1396216296126378,-1,-1.823243768387052,Summer
Bouquet River,04276500,2024-06-10,2024,-2.0088023120216665,-2.0077894725761345,-1.9103409629595194,-0.04593691402197675,-1,-1.9628653979996897,Summer
Bouquet River,04276500,2024-06-11,2024,-2.050194997179892,-1.996580330214162,-1.914475646483366,-0.04139268515822536,0,-2.0088023120216665,Summer
Bouquet River,04276500,2024-06-12,2024,-2.0915876823381168,-1.9851558172010513,-1.9198998897332895,-0.04139268515822492,0,-2.050194997179892,Summer
Bouquet River,04276500,2024-06-13,2024,-2.118459828738418,-1.9754366907336474,-1.9282065016463266,-0.026872146400301222,0,-2.0915876823381168,Summer
Bouquet River,04276500,2024-06-14,2024,-2.1138640770492687,-1.9720455697401065,-1.9386582721715009,0.0045957516891492745,0,-2.118459828738418,Summer
Bouquet River,04276500,2024-06-15,2024,-2.1349391031329135,-2.024145437673443,-1.9509132763471757,-0.021075026083644754,0,-2.1138640770492687,Summer
Bouquet River,04276500,2024-06-16,2024,-2.1912205536816463,-2.0686733426371378,-1.96357364816862,-0.05628145054873279,-1,-2.1349391031329135,Summer
Bouquet River,04276500,2024-06-17,2024,-2.2107740900573254,-2.10129550773456,-1.9762245765471254,-0.019553536375679137,0,-2.1912205536816463,Summer
Bouquet River,04276500,2024-06-18,2024,-2.219431409589824,-2.1301486188825116,-1.9872259023149288,-0.008657319532498597,0,-2.2107740900573254,Summer
Bouquet River,04276500,2024-06-19,2024,-2.231249675767123,-2.1543252492267877,-1.9969657884161336,-0.011818266177299197,0,-2.219431409589824,Summer
Bouquet River,04276500,2024-06-20,2024,-2.228264822217661,-2.1742769625737886,-2.005858014809261,0.0029848535494623185,0,-2.231249675767123,Summer
Bouquet River,04276500,2024-06-21,2024,-2.188497695346173,-2.18996339021368,-2.0136442532388474,0.03976712687148787,0,-2.228264822217661,Summer
Bouquet River,04276500,2024-06-22,2024,-2.1373451728987916,-2.200625335684667,-2.023633276585556,0.05115252244738144,1,-2.188497695346173,Summer
Bouquet River,04276500,2024-06-23,2024,-1.95170859593688,-2.2009690599369347,-2.031362138931352,0.1856365769619115,1,-2.1373451728987916,Summer
Bouquet River,04276500,2024-06-24,2024,-1.4530984253834793,-2.166753065973397,-2.029278432894116,0.49861017055340073,1,-1.95170859593688,Summer
Bouquet River,04276500,2024-06-25,2024,-1.6570187783039179,-2.0585136853057047,-2.0087017676312926,-0.20392035292043853,-1,-1.4530984253834793,Summer
Bouquet River,04276500,2024-06-26,2024,-1.823243768387052,-1.9781690236934322,-1.9951277910893113,-0.16622499008313407,-1,-1.6570187783039179,Summer
Bouquet River,04276500,2024-06-27,2024,-1.9612539138431104,-1.9198824654962792,-1.986540456137335,-0.1380101454560585,-1,-1.823243768387052,Summer
Bouquet River,04276500,2024-06-28,2024,-2.058163926851167,-1.8817380500142007,-2.004904038433354,-0.09691001300805646,-1,-1.9612539138431104,Summer
Bouquet River,04276500,2024-06-29,2024,-2.1093164492985483,-1.8631189402291997,-2.0204918886577143,-0.05115252244738144,-1,-2.058163926851167,Summer
Bouquet River,04276500,2024-06-30,2024,-1.9485728820840216,-1.8591148368577364,-2.0312612265379495,0.16074356721452676,1,-2.1093164492985483,Summer
Bouquet River,04276500,2024-07-01,2024,-1.8351104760964398,-1.8586668777358994,-2.032650447556733,0.11346240598758173,1,-1.9485728820840216,Summer
Bouquet River,04276500,2024-07-02,2024,-1.9912171372205538,-1.913240027837751,-2.0275613313805425,-0.15610666112411398,-1,-1.8351104760964398,Summer
Bouquet River,04276500,2024-07-03,2024,-2.1048159480718716,-1.9609826505401275,-2.025595402715231,-0.11359881085131773,-1,-1.9912171372205538,Summer
Bouquet River,04276500,2024-07-04,2024,-2.183102663459467,-2.001207247637959,-2.026180390699111,-0.07828671538759524,-1,-2.1048159480718716,Summer
Bouquet River,04276500,2024-07-05,2024,-2.228264822217661,-2.032899926154581,-2.027944926538704,-0.04516215875819407,0,-2.183102663459467,Summer
Bouquet River,04276500,2024-07-06,2024,-2.157089231094549,-2.0572000540640802,-2.030233035025628,0.071175591123112,1,-2.228264822217661,Summer
Bouquet River,04276500,2024-07-07,2024,-2.030889841984505,-2.0640247371777947,-2.030729420205673,0.1261993891100439,1,-2.157089231094549,Summer
Bouquet River,04276500,2024-07-08,2024,-2.157089231094549,-2.0757843028778638,-2.040120248221293,-0.1261993891100439,-1,-2.030889841984505,Summer
Bouquet River,04276500,2024-07-09,2024,-2.237281640537036,-2.121781267877594,-2.0512484303115426,-0.08019240944248729,-1,-2.157089231094549,Summer
Bouquet River,04276500,2024-07-10,2024,-1.698890729078451,-2.156933339779948,-2.060395638396121,0.5383909114585852,1,-2.237281640537036,Summer
Bouquet River,04276500,2024-07-11,2024,-0.611580739380966,-2.098944022780888,-2.0500652522980136,1.087309989697485,1,-1.698890729078451,Summer
Bouquet River,04276500,2024-07-12,2024,-1.0052278516633684,-1.874440890769674,-2.0021114437047163,-0.39364711228240234,-1,-0.611580739380966,Summer
Bouquet River,04276500,2024-07-13,2024,-1.3207356706959725,-1.699721323547632,-1.9658994493488913,-0.31550781903260416,-1,-1.0052278516633684,Summer
Bouquet River,04276500,2024-07-14,2024,-1.5016380810124088,-1.5802422434906926,-1.9393086440808098,-0.18090241031643628,-1,-1.3207356706959725,Summer
Bouquet River,04276500,2024-07-15,2024,-1.6893262998834364,-1.5046348490661074,-1.918901110879581,-0.1876882188710276,-1,-1.5016380810124088,Summer
Bouquet River,04276500,2024-07-16,2024,-1.5864377040182107,-1.4378115731788057,-1.9040473507712652,0.1028885958652257,1,-1.6893262998834364,Summer
Bouquet River,04276500,2024-07-17,2024,-1.0915876823381165,-1.3448338679618306,-1.8838879224491507,0.4948500216800942,1,-1.5864377040182107,Summer
Bouquet River,04276500,2024-07-18,2024,-1.405845943735853,-1.2580762898560685,-1.8465817088585104,-0.3142582613977365,-1,-1.0915876823381165,Summer
Bouquet River,04276500,2024-07-19,2024,-1.653045333552006,-1.3715427476210524,-1.8194621933300448,-0.24719938981615286,-1,-1.405845943735853,Summer
Bouquet River,04276500,2024-07-20,2024,-1.7916447823153496,-1.464088102176572,-1.8001887152562075,-0.13859944876334374,-1,-1.653045333552006,Summer
Bouquet River,04276500,2024-07-21,2024,-1.8943071242124974,-1.5313608324079115,-1.7856347139261304,-0.10266234189714774,-1,-1.7916447823153496,Summer
Bouquet River,04276500,2024-07-22,2024,-1.9532849841718352,-1.5874564100079243,-1.775828361555008,-0.0589778599593378,-1,-1.8943071242124974,Summer
Bouquet River,04276500,2024-07-23,2024,-1.9929439565210596,-1.6251647934776954,-1.769693021930776,-0.03965897234922444,0,-1.9532849841718352,Summer
Bouquet River,04276500,2024-07-24,2024,-1.9809979720388677,-1.6832371152638168,-1.7710675339502486,0.011945984482191863,0,-1.9929439565210596,Summer
Bouquet River,04276500,2024-07-25,2024,-1.8662784006122537,-1.8102957280782097,-1.7886641855054282,0.11471957142661404,1,-1.9809979720388677,Summer
Bouquet River,04276500,2024-07-26,2024,-1.9111750494997928,-1.876071793346267,-1.7956395062490393,-0.04489664888753908,0,-1.8662784006122537,Summer
